Trace
Swept SA
A.03.08,N9010A
1749985604.67134,-65.2701567535029
1749985654.67134,-61.767178695426
1749985704.67134,-61.767178695426
1749985754.67134,-61.1318719857796
1749985804.67134,-61.8780322953896
1749985854.67134,-60.8872292437511
1749985904.67134,-62.1899515360051
1749985954.67134,-62.1884225059632
1749986004.67134,-66.003319765453
1749986054.67134,-62.62342757381
1749986104.67134,-63.8986277565394
1749986154.67134,-62.0477526568382
1749986204.67134,-60.9178089429273
1749986254.67134,-61.0133724907556
1749986304.67134,-61.6165696087249
1749986354.67134,-63.485028312158
1749986404.67134,-64.5048824902955
1749986454.67134,-63.3244813599747
1749986504.67134,-65.3404901360933
1749986554.67134,-68.0636692236385
1749986604.67134,-65.1638884534092
1749986654.67134,-63.774011958402
1749986704.67134,-67.6645955842564
1749986754.67134,-64.0056578993379
1749986804.67134,-62.7832087107501
1749986854.67134,-62.7403962224012
1749986904.67134,-62.4644085409259
1749986954.67134,-62.1578405330315
1749987004.67134,-62.2648717081673
1749987054.67134,-64.4941783783405
1749987104.67134,-64.7739884062382
1749987154.67134,-65.7472075666585
1749987204.67134,-61.8031082029592
1749987254.67134,-61.7732923588922
1749987304.67134,-64.1677328622934
1749987354.67134,-62.4697594600256
1749987404.67134,-63.4919071374894
1749987454.67134,-62.609664277961
1749987504.67134,-62.7251050333881
1749987554.67134,-61.5424102599978
1749987604.67134,-61.6578510284924
1749987654.67134,-63.6348698979006
1749987704.67134,-65.7930772134295
1749987754.67134,-63.4605617537456
1749987804.67134,-62.3115054060609
1749987854.67134,-62.3137989184548
1749987904.67134,-61.71518862926
1749987954.67134,-61.6983694294747
1749988004.67134,-64.2189538332585
1749988054.67134,-65.4199965489897
1749988104.67134,-66.2005596490492
1749988154.67134,-64.321397669985
1749988204.67134,-64.6134398990152
1749988254.67134,-65.0568547170315
1749988304.67134,-64.2136017380784
1749988354.67134,-64.3229264386757
1749988404.67134,-65.0690866437452
1749988454.67134,-64.634081144669
1749988504.67134,-66.5239460726752
1749988554.67134,-65.088199159911
1749988604.67134,-67.0422826832312
1749988654.67134,-65.8022499301141
1749988704.67134,-65.4857432334812
1749988754.67134,-64.4498341941674
1749988804.67134,-67.0193471411299
1749988854.67134,-66.0522438656611
1749988904.67134,-67.7907360740056
1749988954.67134,-68.5827667229673
1749989004.67134,-66.5973381033896
1749989054.67134,-65.562193572563
1749989104.67134,-66.2127902298042
